Time (h),OD 600,Product (kg),Time (h),DO (%),Glucose Delivered (kg),Feed Delivered (kg),CER (mmol/L*hr),Vessel Weight (kg),pH,Temperature (C),Agitation (RPM),Base Weight (kg),Vessel Volume (L),Time (h),Glucose (g/L),Dry Cell Weight (g/L),Product Concentration (g/L),Productivity (g/L/h),Yield (%)
0,0.13,0,0,100.72,0.92,0,0.2,65.25,7.34,37,130.75,0,67.21,0,13.72,0.04,0,0,0
4,0.45,0.01,0.02,100.64,0.92,0,0.2,65.25,7.58,37,130.76,0,67.21,4,12.52,0.13,0.1,0.03,1.1
8,1.54,0.02,0.03,100.56,0.92,0,0.2,65.25,7.01,37.01,130.77,0,67.21,8,7.43,0.46,0.34,0.04,2.2
12,5.29,0.08,0.05,100.47,0.92,0,0.21,65.25,6.69,37.01,130.76,0,67.21,12,0.01,1.59,1.18,0.1,8.7
16,15.9,0.24,0.07,100.39,0.92,0,0.21,65.25,7.22,37,130.77,0,67.21,16,0.05,4.76,3.55,0.23,16.9
20,47.6,0.75,0.08,100.31,0.92,0,0.21,65.25,7.64,37,130.76,0,67.21,20,0.03,14.28,10.64,0.55,36.2
24,95.2,1.21,0.1,100.22,0.92,0,0.21,65.25,6.72,36.99,130.76,0,67.21,24,0.04,28.55,21.29,0.91,40.7
28,99.2,1.82,0.12,100.14,0.92,0,0.21,65.25,7.29,37,130.76,0,67.21,28,0.02,29.75,24.31,0.89,43.1
32,103.2,2.55,0.13,100.06,0.92,0,0.22,65.25,7.83,36.99,130.76,0,67.21,32,0.02,30.95,27.72,0.89,43.1
36,107.2,3.25,0.15,99.97,0.92,0,0.22,65.25,7.93,37,130.77,0,67.21,36,0.02,32.15,31.57,0.9,43.8
40,111.2,4.12,0.17,99.89,0.92,0,0.22,65.25,7.25,37.01,130.76,0,67.21,40,0.02,33.35,35.91,0.92,44
44,115.2,5.05,0.18,99.81,0.92,0,0.22,65.25,7.91,37,130.76,0,67.21,44,0.02,34.55,40.79,0.95,43.8
48,119.2,6.01,0.2,99.72,0.92,0,0.22,65.25,7.59,36.99,130.77,0,67.21,48,0.02,35.75,46.28,0.99,42.7
52,123.2,7.21,0.22,99.64,0.92,0,0.22,65.25,7.46,37,130.76,0,67.21,52,0.02,36.95,52.46,1.04,42.7
56,127.2,8.46,0.23,99.56,0.92,0,0.23,65.25,7.58,37,130.77,0,67.21,56,0.02,38.15,59.41,1.09,42.5
60,131.2,9.82,0.25,99.47,0.92,0,0.23,65.25,7.94,36.99,130.77,0,67.21,60,0.02,39.35,67.23,1.15,42.3
64,135.2,11.27,0.27,99.39,0.92,0,0.23,65.25,7.4,36.99,130.77,0,67.21,64,0.02,40.55,76,1.22,42.1
,,,0.28,99.31,0.92,0,0.23,65.25,7.02,37,130.76,0,67.21,,,,,,
,,,0.3,99.22,0.92,0,0.23,65.25,7.58,37.01,130.77,0,67.21,,,,,,
,,,0.32,99.14,0.92,0,0.24,65.25,6.94,37.01,130.77,0,67.21,,,,,,
,,,0.33,99.06,0.92,0,0.24,65.25,8.24,37,130.76,0,67.21,,,,,,
,,,0.35,98.97,0.92,0,0.24,65.25,7.42,36.99,130.77,0,67.21,,,,,,
,,,0.37,98.89,0.92,0,0.24,65.25,7.7,37,130.77,0,67.21,,,,,,
,,,0.38,98.81,0.92,0,0.24,65.25,7.54,37,130.76,0,67.21,,,,,,
,,,0.4,98.72,0.92,0,0.25,65.25,7.35,37.01,130.76,0,67.21,,,,,,
,,,0.42,98.64,0.92,0,0.25,65.25,8.07,37,130.77,0,67.21,,,,,,
,,,0.43,98.56,0.92,0,0.25,65.25,7.35,37,130.76,0,67.21,,,,,,
,,,0.45,98.47,0.92,0,0.25,65.25,7.66,36.99,130.76,0,67.21,,,,,,
,,,0.47,98.39,0.92,0,0.25,65.25,7.47,37,130.76,0,67.21,,,,,,
,,,0.48,98.31,0.92,0,0.25,65.25,7.55,37,130.76,0,67.21,,,,,,
,,,0.5,98.22,0.92,0,0.26,65.25,8.17,37.01,130.76,0,67.21,,,,,,
,,,0.52,98.14,0.92,0,0.26,65.25,7.75,37,130.76,0,67.21,,,,,,
,,,0.53,98.06,0.92,0,0.26,65.25,7.78,36.99,130.76,0,67.21,,,,,,
,,,0.55,97.97,0.92,0,0.26,65.25,7.86,37,130.75,0,67.21,,,,,,
,,,0.57,97.89,0.92,0,0.26,65.25,7.66,36.99,130.76,0,67.21,,,,,,
,,,0.58,97.81,0.92,0,0.27,65.25,7.86,36.99,130.76,0,67.21,,,,,,
,,,0.6,97.72,0.92,0,0.27,65.25,7.63,37,130.76,0,67.21,,,,,,
,,,0.62,97.64,0.92,0,0.27,65.25,7.39,37,130.76,0,67.21,,,,,,
,,,0.63,97.56,0.92,0,0.27,65.25,7.8,37.01,130.75,0,67.21,,,,,,
,,,0.65,97.47,0.92,0,0.27,65.25,8.05,37.01,130.75,0,67.21,,,,,,
,,,0.67,97.39,0.92,0,0.28,65.25,6.9,37.01,130.76,0,67.21,,,,,,
,,,0.68,97.31,0.92,0,0.28,65.25,7.72,37,130.76,0,67.21,,,,,,
,,,0.7,97.22,0.92,0,0.28,65.25,7.37,36.99,130.76,0,67.21,,,,,,
,,,0.72,97.14,0.92,0,0.28,65.25,7.7,37,130.76,0,67.21,,,,,,
,,,0.73,97.06,0.92,0,0.28,65.25,6.79,37,130.76,0,67.21,,,,,,
,,,0.75,96.97,0.92,0,0.28,65.25,7.7,36.99,130.75,0,67.21,,,,,,
,,,0.77,96.89,0.92,0,0.29,65.25,7.44,37,130.76,0,67.21,,,,,,
,,,0.78,96.81,0.92,0,0.29,65.25,7.53,36.98,130.75,0,67.21,,,,,,
,,,0.8,96.72,0.92,0,0.29,65.25,7.88,36.99,130.75,0,67.21,,,,,,
,,,0.82,96.64,0.92,0,0.29,65.25,7.71,37,130.76,0,67.21,,,,,,
,,,0.83,96.56,0.92,0,0.29,65.25,7.24,37,130.76,0,67.21,,,,,,
,,,0.85,96.47,0.92,0,0.3,65.25,8.33,37,130.76,0,67.21,,,,,,
,,,0.87,96.39,0.92,0,0.3,65.25,7.47,37,130.76,0,67.21,,,,,,
,,,0.88,96.31,0.92,0,0.3,65.25,7.57,37.01,130.76,0,67.21,,,,,,
,,,0.9,96.22,0.92,0,0.3,65.25,8.33,37.01,130.75,0,67.21,,,,,,
,,,0.92,96.14,0.92,0,0.3,65.25,7.31,37.01,130.76,0,67.21,,,,,,
,,,0.93,96.06,0.92,0,0.31,65.25,8.08,37,130.76,0,67.21,,,,,,
,,,0.95,95.97,0.92,0,0.31,65.25,7.84,37.01,130.76,0,67.21,,,,,,
,,,0.97,95.89,0.92,0,0.31,65.25,8.31,37.01,130.76,0,67.21,,,,,,
,,,0.98,95.81,0.92,0,0.31,65.25,7.82,37,130.75,0,67.21,,,,,,
,,,1,95.72,0.92,0,0.31,65.25,7.95,36.99,130.75,0,67.21,,,,,,
,,,1.02,95.64,0.92,0,0.31,65.25,7.49,37,138.71,0,67.21,,,,,,
,,,1.03,95.56,0.92,0,0.32,65.25,7.85,37,143.55,0.01,67.21,,,,,,
,,,1.05,95.47,0.92,0,0.32,65.26,7.73,37,131.26,0.01,67.22,,,,,,
,,,1.07,95.39,0.92,0,0.32,65.26,7.83,37,130.8,0.01,67.22,,,,,,
,,,1.08,95.31,0.92,0,0.32,65.26,7.28,37.01,130.79,0.01,67.22,,,,,,
,,,1.1,95.22,0.92,0,0.32,65.26,7.72,37,130.8,0.01,67.22,,,,,,
,,,1.12,95.14,0.92,0,0.33,65.26,7,37.01,130.8,0.01,67.22,,,,,,
,,,1.13,95.06,0.92,0,0.33,65.26,7.62,37.01,130.79,0.01,67.22,,,,,,
,,,1.15,94.97,0.92,0,0.33,65.26,7.46,37.01,130.79,0.01,67.22,,,,,,
