Time (h),OD 600,Product (kg),Time (h).1,DO (%),Glucose Delivered (kg),Feed Delivered (kg),CER (mmol/L*hr),Vessel Weight (kg),pH,Temperature (C),Agitation (RPM),Base Weight (kg),Vessel Volume (L),Time (h).2,Glucose (g/L),Dry Cell Weight (g/L),Product Concentration (g/L),Productivity (g/L/h),Yield (%)
0.0,0.13,0.0,0.0,86.02,0.91,0.0,0.19,71.51,7.04,35.11,148.24,0.0,58.84,0.0,16.19,0.05,0.0,0.0,0.0
4.0,0.36,0.01,0.02,110.11,0.75,0.0,0.2,65.83,6.86,39.24,116.7,0.0,51.73,4.0,13.68,0.1,0.12,0.03,1.02
8.0,1.86,0.02,0.03,89.9,0.88,0.0,0.16,78.11,6.11,40.38,149.33,0.0,74.17,8.0,8.21,0.36,0.32,0.04,1.91
12.0,4.09,0.06,0.05,91.32,0.89,0.0,0.22,75.77,6.59,39.96,143.61,0.0,74.68,12.0,0.01,1.64,1.06,0.11,9.93
16.0,15.5,0.19,0.07,80.53,1.0,0.0,0.18,56.91,7.03,33.88,116.91,0.0,72.1,16.0,0.05,4.39,2.24,0.23,17.06
20.0,45.68,0.62,0.08,114.06,0.91,0.0,0.25,54.77,7.26,38.65,106.37,0.0,72.03,20.0,0.03,16.35,11.95,0.54,30.71
24.0,87.97,1.06,0.1,101.58,0.89,0.0,0.22,61.09,5.74,37.17,124.28,0.0,73.4,24.0,0.03,28.7,21.48,0.55,48.57
28.0,97.68,1.83,0.12,90.21,0.96,0.0,0.22,61.04,7.29,31.08,148.92,0.0,60.38,28.0,0.02,27.17,20.3,0.92,47.31
32.0,102.89,3.0,0.13,117.96,1.03,0.0,0.2,48.41,6.81,33.31,113.63,0.0,67.8,32.0,0.02,34.75,31.61,0.82,42.31
36.0,97.61,2.98,0.15,130.51,0.98,0.0,0.21,64.85,7.13,44.83,102.95,0.0,75.73,36.0,0.02,31.68,26.32,0.88,31.07
40.0,87.26,3.78,0.17,104.98,1.05,0.0,0.21,69.55,4.25,36.51,165.78,0.0,47.95,40.0,0.02,34.61,32.39,0.76,43.89
44.0,121.03,5.52,0.18,92.99,1.09,0.0,0.23,74.53,5.46,28.01,154.05,0.0,78.75,44.0,0.02,30.6,43.5,0.8,32.52
48.0,93.95,6.38,0.2,92.69,0.85,0.0,0.18,71.39,7.94,35.4,173.12,0.0,60.95,48.0,0.02,42.7,40.35,0.85,38.83
52.0,102.81,6.37,0.22,119.46,1.15,0.0,0.16,57.78,7.43,40.57,115.82,0.0,65.54,52.0,0.02,38.07,68.62,0.95,43.02
56.0,127.43,8.94,0.23,72.98,0.89,0.0,0.19,46.12,7.09,39.04,187.29,0.0,72.96,56.0,0.02,38.12,60.82,1.18,31.99
60.0,120.31,10.66,0.25,96.7,0.89,0.0,0.27,56.91,10.05,33.86,132.98,0.0,73.37,60.0,0.02,50.99,74.58,1.02,47.53
64.0,140.43,13.46,0.27,92.32,0.92,0.0,0.17,78.96,6.82,37.14,118.03,0.0,71.23,64.0,0.02,36.47,63.22,1.3,38.51
,,,0.28,124.58,1.11,0.0,0.26,60.02,6.96,42.42,148.6,0.0,47.62,,,,,,
,,,0.3,83.93,1.0,0.0,0.22,76.59,6.62,38.83,141.97,0.0,81.04,,,,,,
,,,0.32,99.4,1.05,0.0,0.29,48.3,7.04,35.72,119.23,0.0,60.58,,,,,,
,,,0.33,109.93,1.06,0.0,0.24,69.0,8.04,34.28,145.51,0.0,74.5,,,,,,
,,,0.35,117.72,0.66,0.0,0.23,66.68,5.56,37.21,149.55,0.0,61.71,,,,,,
,,,0.37,90.84,1.01,0.0,0.23,73.31,7.17,46.17,123.38,0.0,60.76,,,,,,
,,,0.38,70.97,1.26,0.0,0.24,50.99,8.23,36.64,121.11,0.0,50.14,,,,,,
,,,0.4,88.62,0.93,0.0,0.25,66.74,6.63,32.95,127.17,0.0,79.3,,,,,,
,,,0.42,96.21,1.0,0.0,0.23,60.07,8.68,36.14,119.75,0.0,60.91,,,,,,
,,,0.43,79.84,0.82,0.0,0.23,59.82,5.28,40.17,155.62,0.0,72.48,,,,,,
,,,0.45,97.65,0.75,0.0,0.28,55.21,7.63,37.41,137.0,0.0,71.24,,,,,,
,,,0.47,111.65,0.95,0.0,0.29,65.09,7.25,38.45,160.76,0.0,74.38,,,,,,
,,,0.48,104.49,0.97,0.0,0.3,86.07,5.7,34.33,105.35,0.0,54.82,,,,,,
